detail_page_url,event_count,status,description_found,image_found,reason
https://tickets.citywinery.com/event/music-bingo-80s-90s-2000s-and-today-t89g17,5,hit,true,true,
https://www.ticketmaster.com/event/Z7r9jZ1A70_3o,5,miss,false,false,fetch failed
https://deeringestate.org/events/subtropics/,5,hit,true,true,
https://www.triplecbrewing.com/live-music-events/2026/3/24/clt-yoga-club-te34m-63k5d-86zke-3l9hh-eyntc-s4348-7dgfz,5,hit,true,false,
https://www.triplecbrewing.com/live-music-events/7jyxyfdjse2jcfs-3zwtl-zbb95,5,hit,true,true,
https://www.arcadecomedytheater.com/event/level-up-stand-up-24/,5,hit,false,true,
https://www.arcadecomedytheater.com/event/your-act-with-nonsense-15/,5,hit,false,true,
https://www.arcadecomedytheater.com/event/knights-of-the-arcade-epic-dd-adventure-26/,5,hit,false,true,
https://www.arcadecomedytheater.com/event/stand-up-lab-3/,5,hit,false,true,
https://woodenrobotbrewery.com/event/copy-noda-neighborhood-meeting-2026-08-04/,5,hit,true,false,
https://www.ticketmaster.com/sammy-hagar-the-best-of-all-las-vegas-nevada-09-18-2026/event/2E006329A99E8016,5,miss,false,false,fetch failed
https://www.ticketmaster.com/mary-j-blige-my-life-my-las-vegas-nevada-08-28-2026/event/2E006495D2FD2276,5,miss,false,false,fetch failed
https://boxiparklakenona.com/event-schedule/dj-astylez-5/,5,hit,false,true,
https://boxiparklakenona.com/event-schedule/family-fun-day-33/,5,hit,false,true,
https://www.ticketmaster.com/josh-groban-gems-the-las-vegas-las-vegas-nevada-10-02-2026/event/39006445F8525B8F,5,miss,false,false,fetch failed
https://travel.ticketmaster.com/en-US/package-forward/78902495?_uid=53477f82-54f0-4429-b7af-746146806a86&utm_source=FB&utm_medium=TM_ADP_BillyIdol0828,5,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/billy-idol-hot-in-the-city-las-vegas-nevada-08-28-2026/event/1700646DB7C28B9A,5,miss,false,false,fetch failed
https://santamonica.harvelles.com/shows/376219,5,miss,false,false,no usable og/meta tags
https://monumentcitybrewing.com/event/thursday-neighborhood-happy-hour/2026-07-30/,5,miss,false,false,no usable og/meta tags
https://www.jazzshowcase.com/nowplaying/sabertooth-t8kcr-ce59t-x2geb-m397b,5,hit,false,true,
https://www.jazzshowcase.com/nowplaying/cjo2025-6aklg-ry8c4-az3fk-9b8xj-7cwrh-cd45c-7agwc-gpnbz-pxftb-6dbex-mjz3b-jd3ly-r6tje-47cet-gdeap,5,hit,false,true,
https://www.jazzshowcase.com/nowplaying/petra-recession-seven-epy66-xl6gs-mcz77-p9h2b-gp2s6-gxrc7-m43n2-slpze-5bkhx-r7y7z-29t9c-xf6t6-ccd7j-7r7md-3g4e9-jggrg-kd59z-7yfxj-3ywkb-hzbgn-lgd6z-ad8km-jfb59,5,miss,false,false,no usable og/meta tags
https://ballandchainmiami.com/event/the-ball-chain-trio-2-2-2/2026-07-24/,5,hit,true,false,
https://thenash.org/events/jazz-casual-thursday-with-charles-lewis-his-trio-57/,5,miss,false,false,no usable og/meta tags
https://www.ticketweb.com/event/the-moss-park-strings-lil-indies-tickets/14227834,5,miss,false,false,no usable og/meta tags
https://www.ticketweb.com/event/indie-900-jam-lil-indies-tickets/14216704,5,miss,false,false,no usable og/meta tags
https://www.twilightcafeandbar.com/event/463789/Wicked-Wednesday-w-DJ-Barbie-Saint-DJ-Speedo,5,miss,false,false,no usable og/meta tags
https://mississippipizza.com/event/free-trivia-sippi-weekly-quiz-night-46/,5,hit,true,false,
https://mississippipizza.com/event/mango-twist-live-music-dancing-9/,5,hit,true,false,
https://www.ticketmaster.com/rush-fifty-something-new-york-new-york-07-28-2026/event/3B00634413D831F2,4,miss,false,false,fetch failed
https://www.ticketmaster.com/olivia-dean-the-art-of-loving-new-york-new-york-08-14-2026/event/3B00636DC6D75B6C,4,miss,false,false,fetch failed
https://www.ticketmaster.com/bts-world-tour-arirang-in-los-inglewood-california-09-01-2026/event/0A006429AB3C5EF1,4,miss,false,false,fetch failed
https://www.broadwaycomedyclub.com/shows/2026-08-07-a-asian-stand-up-comedy-show-at-broadway-club-800-pm/,4,hit,true,false,
https://www.terraza7.com/detalles-y-registro/roman-diaz-la-rumba-de-los-lunes-4,4,hit,true,false,
https://www.ticketweb.com/event/day-out-with-thomas-tm-museum-of-the-american-railroad-tickets/14748893,4,miss,false,false,no usable og/meta tags
https://www.ticketmaster.com/violent-femmes-45-years-of-violent-los-angeles-california-07-28-2026/event/09006490BF5197C8,4,miss,false,false,fetch failed
https://moonshinebeachsd.com/event/?id=1754707&dt=260728&ve=beach&rm=0,4,miss,false,false,no usable og/meta tags
https://www.broadwaycomedyclub.com/shows/2026-09-18-audrey-mora-presenta-standriendo-900-pm/,4,hit,true,false,
https://www.ticketmaster.com/event/Z7r9jZ1A7r4bU,4,miss,false,false,fetch failed
https://www.ticketmaster.com/event/Z7r9jZ1A7OSqE,4,miss,false,false,fetch failed
https://www.ticketmaster.com/phish-new-york-new-york-07-24-2026/event/3B00644DC1D36EA7,4,miss,false,false,fetch failed
https://www.ticketmaster.com/the-moth-storyslam-brooklyn-new-york-07-29-2026/event/300064BBAC9D90AB,4,miss,false,false,fetch failed
https://www.wholeworldtheatre.com/show/the-classic-improv-show/2026-07-24/,4,hit,true,true,
https://www.cmwbrewery.com/events-calendar/dj-cortez,4,miss,false,false,no usable og/meta tags
https://www.ticketweb.com/event/mamma-mia-bottomless-brunch-at-ellens-stardust-theater-tickets/14207014,4,miss,false,false,no usable og/meta tags
